"","number_tokens","ave_syllabels","perc_differentwords2","mean_sent_length","docdate"
"1468",3047,1.94672131147541,0.223919523099851,47.47457627,1998-04-28
"1469",3493,1.94505130751407,0.226746110559417,42.02597403,1997-11-06
"1470",5734,1.9812,0.1582,42.74796748,1998-06-25
"1471",816,1.94093406593407,0.328296703296703,45.47058824,1997-02-06
"1472",2321,1.89898501691638,0.219913001449976,40.18518519,1998-06-11
"1473",2307,1.94805194805195,0.228771228771229,47.28888889,1997-12-04
"1474",713,1.98422712933754,0.34384858044164,39.52941176,1997-10-02
"1475",5380,2.00774165007742,0.205264322052643,35.08633094,1998-10-01
"1476",3290,2.05091790786283,0.207828195358504,43.64285714,1997-10-09
"1477",3540,2.02310010043522,0.222966186809508,42.27631579,1998-07-16
"1478",4866,1.98887814313346,0.178433268858801,43.44117647,1998-02-19
"1479",3761,2.00536108483128,0.188899400819931,45.56756757,1998-04-02
"1480",2875,1.93470518401266,0.223189552829442,43.98360656,1998-11-25
"1481",7011,1.93579480477046,0.157000490115994,53.425,1999-01-21
"1482",1248,1.935546875,0.234375,59.78947368,1996-12-12
"1483",3878,2.09545182525434,0.175643327348893,38.22580645,1998-05-28
"1484",1356,1.94507410636443,0.27898866608544,38.96875,1997-06-05
"1485",2417,1.97014218009479,0.211374407582938,45.89795918,1997-12-04
"1486",5532,1.98490175801448,0.162150982419855,49.70588235,1998-11-17
"1487",5742,1.95816158285243,0.149629018961253,61.09411765,1998-04-30
"1488",5318,1.92779939472546,0.154128837008214,46.40952381,1998-09-15
"1489",7879,2.01135525733668,0.170771272673647,39.19459459,1998-10-01
"1490",5223,1.98929141034404,0.202323991797676,35.44029851,1998-10-01
"1491",5349,1.92066895368782,0.169168096054889,50.64285714,2000-02-10
"1492",845,2.00142247510669,0.321479374110953,39.2,1997-11-13
"1493",2559,2.03178258866882,0.215108245048365,59.2,1997-09-25
"1494",9217,1.97658227848101,0.149873417721519,37.60888889,1998-10-01
"1495",10387,2.01796743402583,0.157888826501965,38.38709677,1998-10-01
"1496",4697,1.89314271868185,0.174703174218561,57.36842105,1997-12-11
"1497",3697,1.90340006355259,0.175405147759771,55.32786885,1997-11-13
"1498",4471,1.89959016393443,0.181352459016393,47.69767442,1998-02-17
"1499",4315,1.93273420479303,0.18681917211329,46.13095238,1998-11-19
"1500",5266,1.96407982261641,0.157427937915743,54.6091954,1997-12-04
"1501",4458,1.9012671594509,0.170274551214361,50.83544304,1998-05-14
"1502",2758,1.93080724876442,0.230230642504119,42.89830508,1997-05-29
"1503",3718,1.89113530326594,0.187869362363919,46.57534247,1998-09-15
"1504",1932,1.87678904791537,0.238954573739888,48.52777778,1997-11-06
"1505",9933,1.98253949400166,0.120085520845706,51.99421965,1999-05-04
"1506",2521,2.01859410430839,0.249886621315193,40.94736842,1997-12-18
"1507",4365,1.96320630749014,0.178449408672799,47.29761905,1998-07-16
"1508",6725,1.95801011804384,0.157335581787521,46.84210526,1998-06-18
"1509",3765,1.95858708891596,0.174482338611449,62.08928571,1998-11-12
"1510",3644,1.89887278582931,0.191304347826087,52.6031746,1997-11-27
"1511",3986,1.95139488064423,0.207075064710958,38.47916667,1998-03-12
"1512",2915,1.95751255310931,0.201235998455002,44.8,1998-11-24
"1513",7125,1.88887040425886,0.134420229579105,60.30188679,1998-06-11
"1514",3961,1.93254437869822,0.18905325443787,46.84415584,1998-09-15
"1515",4372,2.01458112407211,0.186903499469777,48.37349398,1997-09-17
"1516",1023,1.93656286043829,0.291810841983852,41.08695652,1997-05-29
"1517",2135,1.96756459593183,0.278724573941726,44.77272727,1997-12-18
"1518",2020,1.93355481727575,0.206533776301218,48.87179487,1998-10-01
"1519",3715,2.00839522118179,0.178559896674201,45.18666667,1998-07-16
"1520",7800,1.9350058685446,0.141578638497653,36.93298969,2000-10-05
"1521",11059,2.04332393778056,0.120889445662386,50.78787879,1999-03-16
"1522",1217,1.99904671115348,0.340324118207817,40.66666667,1997-10-09
"1523",2179,2.09306078536848,0.229155459924691,43.02173913,1998-01-15
"1524",516,1.8982683982684,0.33982683982684,37.69230769,1997-03-20
"1525",4499,1.95218909481601,0.164383561643836,61.03030303,1998-06-11
"1526",4123,1.98602961721151,0.208158703548477,43.48837209,1998-07-16
"1527",5890,1.91352723013859,0.162404840913527,41.6,1998-05-19
"1528",13089,1.99928025191183,0.13306342780027,45.19305019,2003-09-30
"1529",1560,2.02511415525114,0.294520547945205,47.53333333,1997-10-16
"1530",3565,1.93957115009747,0.179662118258609,52.40322581,1998-04-28
"1531",2319,1.93762993762994,0.200623700623701,62.14705882,1997-09-25
"1532",5163,1.94099716960592,0.148051382538646,48.46938776,1998-10-22
"1533",2033,2.01431024613623,0.264453348597596,38.97916667,1997-12-18
"1534",3867,1.94101956135151,0.173681090693539,57.4516129,1997-10-09
"1535",562,2.00618556701031,0.358762886597938,43.75,1997-05-29
"1536",547,2.04872881355932,0.351694915254237,42.75,1997-05-29
"1537",1174,1.97948717948718,0.247179487179487,50.47619048,1997-05-29
"1538",1611,2.05037037037037,0.320740740740741,40.30555556,1998-03-12
"1539",2952,2.10172899075191,0.220747889022919,51.03773585,1998-01-29
"1540",1853,2.03691496374423,0.248516809492419,49.82352941,1997-12-16
"1541",2818,1.87010824313072,0.206910907577019,45.94642857,1998-02-19
"1542",3467,1.91341705221414,0.202247191011236,46.85294118,1998-09-24
"1543",3075,2.09885057471264,0.216858237547893,58.70212766,1998-06-17
"1544",3848,1.96534805274456,0.199325360318921,50.42857143,1998-09-17
"1545",6883,1.84291057463448,0.124957497449847,50.72222222,1998-03-26
"1546",2294,1.9663735126746,0.237972064148991,47.63636364,1997-12-16
"1547",4881,1.9799112356926,0.164681149264191,47.70212766,1998-12-01
"1548",6626,1.94397371606433,0.152343074528791,47.20155039,1999-10-28
"1549",583,1.96551724137931,0.310344827586207,39.57142857,1997-06-26
"1550",5563,1.94579202699852,0.159038177599663,53.67741935,1998-05-12
"1551",3450,1.9086635325722,0.211215580926797,34.06382979,1998-12-03
"1552",3663,1.94567219152855,0.205033763044813,43.51282051,1999-04-22
"1553",931,2.0873417721519,0.317721518987342,42.8,1997-12-16
"1554",5070,1.93249714937286,0.179247434435576,43.76635514,1999-04-29
"1555",6971,1.94446275543837,0.140573500329598,101.047619,1999-02-09
"1556",1826,2.03366336633663,0.207260726072607,63.26923077,1998-03-12
"1557",5121,2.00330266572305,0.150507195093182,47.83505155,1998-01-29
"1558",3043,1.98073959938367,0.208782742681048,47.75862069,1998-03-05
"1559",2875,1.98129320862139,0.210248068320455,53.18367347,1999-01-19
"1560",4611,1.94773693423356,0.194048512128032,51.44444444,1999-02-25
"1561",4573,1.96258768511302,0.214081579631073,34.53719008,1998-06-18
"1562",3764,2.00406123086535,0.19962511715089,50.92537313,1998-05-07
"1563",2345,1.88053097345133,0.231563421828909,46.32608696,1998-05-19
"1564",3877,1.93184523809524,0.19047619047619,40.40909091,1998-11-12
"1565",3508,1.96607322808196,0.211286530063823,41.72368421,1998-12-17
"1566",3728,1.89723926380368,0.18558282208589,49.47826087,1998-07-16
"1567",567,2.01814516129032,0.328629032258065,48.36363636,1997-05-29
"1568",5731,1.87906504065041,0.15609756097561,61.64285714,1997-09-30
"1569",5358,1.98165137614679,0.164284190313633,42.1637931,1998-11-10
"1570",4557,1.97361745306951,0.156012176560122,56.39726027,1998-06-11
"1571",1990,1.97276940903824,0.245654692931634,54.45454545,1998-05-14
